"Levels of Key Employment Indicators: April 2005 to June 2026"
"Year","Month","Total Population 15 Years Old and Over Both sexes","Total Population 15 Years Old and Over Male","Total Population 15 Years Old and Over Female","Persons in the Labor Force Both sexes","Persons in the Labor Force Male","Persons in the Labor Force Female","Employed Persons Both sexes","Employed Persons Male","Employed Persons Female","Unemployed Persons Both sexes","Unemployed Persons Male","Unemployed Persons Female","Underemployed Persons Both sexes","Underemployed Persons Male","Underemployed Persons Female"
"2022","August",76518.637,38368.275,38150.362,50551.931,29237.094,21314.837,47870.529,27786.836,20083.693,2681.402,1450.258,1231.144,7033.061,4586.518,2446.544
"2022","September",76831.654,38510.605,38321.049,50080.273,29088.486,20991.787,47582.793,27765.829,19816.964,2497.479,1322.657,1174.823,7326.439,4608.327,2718.112
"2022","October",76869.283,38663.541,38205.741,49303.876,28958.604,20345.272,47063.894,27665.344,19398.550,2239.982,1293.260,946.722,6665.291,4390.367,2274.924
"2022","November",76914.386,38568.187,38346.198,51881.722,29713.867,22167.855,49704.919,28435.456,21269.463,2176.803,1278.411,898.392,7159.558,4589.965,2569.594
"2022","December",77152.759,38715.366,38437.393,51219.957,29701.240,21518.717,49001.111,28547.208,20453.903,2218.846,1154.032,1064.814,6196.547,3958.231,2238.317
"2022","Annual",76594.062,38446.009,38148.053,49557.727,29131.911,20425.817,46886.636,27636.786,19249.850,2671.091,1495.125,1175.966,6676.082,4345.177,2330.905
"2023","January",77104.564,38725.145,38379.419,49729.904,29112.564,20617.340,47351.759,27650.656,19701.104,2378.144,1461.908,916.236,6654.489,4441.886,2212.602
"2023","February",77003.567,38601.950,38401.618,51271.840,29743.193,21528.647,48796.881,28401.634,20395.247,2474.958,1341.559,1133.400,6286.601,4166.415,2120.187
"2023","March",77255.503,38746.195,38509.307,50997.819,29482.282,21515.537,48581.266,28217.817,20363.449,2416.553,1264.465,1152.088,5441.666,3584.335,1857.331
"2023","April",77259.927,38819.603,38440.324,50314.219,29270.185,21044.034,48058.081,27862.138,20195.943,2256.138,1408.047,848.091,6203.962,4055.359,2148.603
"2023","May",77169.572,38776.835,38392.737,50427.955,29286.706,21141.249,48260.497,28115.537,20144.960,2167.458,1171.169,996.289,5660.553,3761.822,1898.731
"2023","June",77440.425,38981.966,38458.459,51168.155,29659.756,21508.400,48841.400,28394.473,20446.927,2326.755,1265.283,1061.472,5874.824,3800.164,2074.659
"2023","July",78029.766,39132.300,38897.466,46845.032,28235.479,18609.553,44555.975,26927.569,17628.406,2289.057,1307.910,981.147,7068.858,4693.273,2375.585
"2023","August",77782.487,39001.241,38781.246,50292.104,29757.856,20534.248,48073.184,28555.381,19517.804,2218.919,1202.475,1016.444,5630.166,3741.594,1888.572
"2023","September",77954.235,39106.672,38847.563,49929.378,29203.434,20725.944,47665.918,28010.387,19655.532,2263.459,1193.047,1070.412,5112.301,3185.669,1926.632
"2023","October",77999.398,39171.367,38828.030,49877.522,29365.896,20511.626,47788.260,28134.738,19653.522,2089.262,1231.158,858.104,5596.797,3712.272,1884.526
"2023","November",78107.586,39301.031,38806.555,51468.606,29965.565,21503.041,49635.249,29004.163,20631.086,1833.357,961.403,871.955,5786.815,3596.433,2190.383
"2023","December",78211.920,39221.018,38990.903,52126.923,30186.606,21940.317,50524.688,29317.183,21207.505,1602.235,869.423,732.811,6010.321,3902.835,2107.486
"2023","Annual",77609.913,38965.444,38644.469,50370.788,29439.127,20931.661,48177.763,28215.973,19961.790,2193.025,1223.154,969.871,5943.946,3886.838,2057.108
"2024","January",78632.405,39425.032,39207.373,48059.583,28711.402,19348.181,45902.161,27444.984,18457.177,2157.422,1266.418,891.004,6296.610,4192.359,2104.250
"2024","February",78306.859,39224.605,39082.254,50746.273,29621.445,21124.828,48950.548,28638.440,20312.108,1795.725,983.005,812.720,6076.464,3961.051,2115.413
"2024","March",78314.534,39332.485,38982.048,51153.388,29659.248,21494.141,49152.984,28557.805,20595.179,2000.404,1101.443,898.961,5390.662,3531.360,1859.301
"2024","April",78617.675,39477.580,39140.095,50395.318,29590.745,20804.573,48354.356,28353.716,20000.640,2040.962,1237.029,803.933,7037.012,4528.609,2508.404
"2024","May",78635.017,39445.608,39189.409,50971.632,29637.036,21334.596,48865.478,28438.259,20427.219,2106.154,1198.776,907.378,4815.011,3130.859,1684.152
"2024","June",78638.548,39506.935,39131.613,51897.954,30043.445,21854.510,50278.082,29229.570,21048.513,1619.872,813.875,805.997,6082.871,3912.451,2170.420
"2024","July",78894.390,39587.943,39306.447,50059.121,29472.860,20586.262,47683.861,28167.770,19516.091,2375.260,1305.089,1070.171,5773.182,3797.807,1975.376
"2024","August",79040.339,39639.580,39400.760,51223.976,29655.052,21568.924,49153.883,28609.031,20544.852,2070.093,1046.021,1024.072,5483.699,3714.456,1769.243
"2024","September",78800.185,39456.627,39343.558,51765.551,29833.457,21932.094,49872.280,28872.466,20999.814,1893.271,960.991,932.280,5943.585,3793.546,2150.039
"2024","October",79220.229,39847.008,39373.221,50122.636,29603.069,20519.567,48156.894,28451.132,19705.762,1965.742,1151.938,813.804,6083.084,3984.738,2098.345
"2024","November",79288.305,39848.919,39439.386,51204.176,29940.480,21263.696,49541.469,28939.264,20602.205,1662.707,1001.216,661.490,5354.744,3470.892,1883.852
"2024","December",79534.984,39898.780,39636.204,51814.479,30141.321,21673.158,50185.471,29268.712,20916.759,1629.008,872.609,756.398,5480.559,3388.855,2091.704
"2024","Annual",78826.956,39557.592,39269.364,50784.507,29659.130,21125.378,48841.456,28580.929,20260.527,1943.052,1078.201,864.851,5818.124,3783.915,2034.208
"2025","January",79316.343,39842.660,39473.683,50651.903,29786.685,20865.218,48486.641,28496.441,19990.200,2165.262,1290.244,875.018,6469.409,4333.075,2136.333
"2025","February",79246.255,39792.778,39453.477,51092.278,29700.990,21391.288,49155.132,28627.629,20527.502,1937.147,1073.361,863.786,4958.545,3327.236,1631.309
"2025","March",79478.551,39862.433,39616.118,49954.229,29142.549,20811.680,48022.300,28023.062,19999.238,1931.929,1119.487,812.442,6439.396,4184.894,2254.501
"2025","April",79591.811,39967.130,39624.681,50735.293,29740.218,20995.075,48671.648,28539.730,20131.918,2063.645,1200.488,863.157,7091.102,4564.252,2526.850
"2025","May",79461.839,39798.170,39663.669,52324.539,30158.132,22166.407,50289.761,29016.691,21273.070,2034.778,1141.441,893.337,6602.555,4240.065,2362.490
"2025","June",79780.050,40020.183,39759.867,52423.735,30379.786,22043.949,50474.715,29251.669,21223.046,1949.019,1128.116,820.903,5762.655,3770.950,1991.705
"2025","July",80087.681,40180.631,39907.050,48639.863,29111.045,19528.819,46046.451,27614.216,18432.235,2593.412,1496.829,1096.583,6802.938,4550.556,2252.382
"2025","August",80125.548,40300.767,39824.782,52129.648,30356.109,21773.540,50096.151,29189.910,20906.241,2033.497,1166.199,867.299,5380.675,3498.352,1882.323
"2025","September",79983.363,40185.034,39798.328,51557.667,30025.810,21531.856,49601.878,28927.015,20674.863,1955.788,1098.795,856.993,5522.548,3583.555,1938.992
"2025","October",80492.332,40477.988,40014.344,51161.534,30342.298,20819.236,48619.468,28849.638,19769.830,2542.066,1492.660,1049.406,5810.505,3866.039,1944.466
"2025","November",80479.030,40349.222,40129.808,51517.116,29972.801,21544.315,49264.782,28670.749,20594.034,2252.333,1302.052,950.281,5110.245,3317.241,1793.004
"2025","December",80248.158,40329.143,39919.015,51686.544,30330.685,21355.859,49427.020,29215.000,20212.020,2259.520,1115.682,1143.838,3931.502,2636.109,1295.393
"2025","Annual",79857.350,40091.950,39765.400,51156.279,29920.489,21235.790,49013.170,28701.764,20311.406,2143.109,1218.725,924.384,5823.357,3822.694,2000.663
"2026","January",81683.549,41115.833,40567.715,50892.604,30320.964,20571.639,47937.598,28570.728,19366.870,2955.006,1750.237,1204.769,6349.278,4240.546,2108.733
"2026","February",81621.752,41160.024,40461.728,52086.577,30490.262,21596.316,49425.915,28880.403,20545.512,2660.662,1609.859,1050.803,5839.212,3879.780,1959.433
"2026","March",81558.956,41125.284,40433.672,51645.784,30307.262,21338.522,49068.998,28856.351,20212.648,2576.786,1450.911,1125.874,6031.139,4091.231,1939.908
"2026","April",81849.067,41209.718,40639.349,51303.613,30450.391,20853.222,48889.464,29032.612,19856.852,2414.149,1417.779,996.370,7410.335,4894.374,2515.961
"2026","May",81686.178,41016.991,40669.187,52125.538,30604.542,21520.995,49627.233,29158.248,20468.985,2498.305,1446.295,1052.010,6038.477,3958.186,2080.291
"2026","June",81787.945,41126.343,40661.601,53245.936,30994.641,22251.295,50658.256,29408.950,21249.306,2587.680,1585.690,1001.989,6114.719,4027.998,2086.721
"2026","July",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2026","August",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2026","September",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2026","October",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2026","November",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2026","December",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"2026","Annual",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
